Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Meu Professor de História,615938,2017-11-08 14:35:04 BRST,Link,60,67,61,0,5,202,4,18,0,,0,0,0,https://www.facebook.com/MPHistoria/posts/1154167684717100,http://www.diariodocentrodomundo.com.br/video-professor-de-economia-de-bolsonaro-explica-que-o-nazismo-e-de-esquerda-e-hitler-adorava-marx/,http://www.diariodocentrodomundo.com.br/video-professor-de-economia-de-bolsonaro-explica-que-o-nazismo-e-de-esquerda-e-hitler-adorava-marx/,,VÍDEO: professor de economia de Bolsonaro explica que o nazismo é de esquerda e “Hitler adorava Marx”,Visit the post for more.,,,2.542682926829268
Folha Política,1781751,2017-11-08 14:28:02 BRST,Link,41,74,155,0,3,3,0,18,0,,0,0,0,https://www.facebook.com/FolhaPolitica/posts/885917311568905,"O promotor destaca que “a propaganda ilegal fere, em cheio, o regime democrático, em total desequilíbrio à futura concorrência política, que sequer se instalou”",http://www.politicanarede.com/2017/11/promotoria-entra-na-justica-contra.html,,Promotoria entra na Justiça contra 'propaganda antecipada' de Bolsonaro,Imagem: Ministério Público Estadual de São Paulo O promotor de Justiça Carlos Alberto Goulart Ferreira representou à Justiça pela retir...,,,-1.5578231292517006
O Antagonista,786947,2017-11-08 14:27:29 BRST,Link,1040,177,119,162,7,25,1,4,0,,0,0,0,https://www.facebook.com/oantagonista/posts/806132362911007,"""Deus, família e patriotismo.""",https://www.oantagonista.com/brasil/o-tripe-de-bolsonaro/,,O tripé de Bolsonaro,,,,3.2452431289640593
Metrópoles,2105442,2017-11-08 14:25:52 BRST,Link,31,39,6,3,0,8,3,23,0,,0,0,0,https://www.facebook.com/metropolesdf/posts/1861337457489562,"Chamado para o evento está no portal da Igreja Ministério da Fé, em Taguatinga #MetrópolesBrasil",https://www.metropoles.com/distrito-federal/politica-df/fadi-faraj-e-jair-bolsonaro-fazem-ao-vivo-no-facebook-nesta-quarta,,Fadi Faraj e Jair Bolsonaro fazem “ao vivo” no Facebook nesta quarta,,,,-1.9823008849557522
Exército Conservador,160526,2017-11-08 14:24:10 BRST,Link,136,16,1,11,1,0,0,0,0,,0,0,0,https://www.facebook.com/ExercitoConservador/posts/1481990065441293,Entenda,https://conservadoresblog.wordpress.com/2017/11/07/bolsonaro-e-aceito-no-meio-evangelico/,,BOLSONARO É ACEITO NO MEIO EVANGÉLICO?,"O deputado Jair Bolsonaro (PSC/RJ) poderá se tornar uma “corredeira que tudo arrasta”, acredita o bispo Robson Rodovalho, ex-deputado federal pelo Distrito Federal e líder da Igreja Sara Nossa Ter…",,,1.6176470588235294
Jornalistas Livres,895614,2017-11-08 14:20:28 BRST,Link,339,30,125,34,10,4,0,2,0,,0,0,0,https://www.facebook.com/jornalistaslivres/posts/632043310252883,"Até a polícia está criticando Bolsonaro!!!! O coletivo de Policiais Baianos Progressistas e Pela Democracia é um grupo informal de Policiais que se inspira e se associa às ideias do Movimento Policiais Antifascismo e no Agentes da Lei Contra a Proibição, e acredita numa política de segurança pública que tenha os direitos humanos e a dignidade da pessoa humana como fundamento. Escolhemos essa profissão para proteger as pessoas — nossas famílias, nossos vizinhos, os cidadãos e as cidadãs do nosso estado —, para cuidar dos outros, para acabar com o medo e não para provocá-lo, para garantir a paz social e não para fazer a guerra. Entendemos que não é abolindo ou desrespeitando os direitos humanos, como pedem alguns demagogos, que vamos reduzir a violência na sociedade; muito pelo contrário. E fazem um alerta: Diante desse quadro (profunda crise social, econômica, política, moral e educacional), não poderia haver alguém pior que Bolsonaro para resolvê-lo. Ele demonstra total despreparo...",https://www.revistaforum.com.br/2017/11/08/coletivo-de-policiais-baianos-progressistas-lanca-manifesto-porque-rejeitamos-e-somos-contra-bolsonaro/,,Coletivo de policiais baianos progressistas lança manifesto: “Porque rejeitamos e somos contra Bolsonaro” - Portal Fórum,Iniciativa de um grupo de policiais militares da Bahia que luta pela democracia repercute muito em grupos de Whatsapp próprios da categoria.,,,5.44
Boina Preta,970839,2017-11-08 14:20:07 BRST,Photo,179,11,0,11,0,0,0,0,0,,0,0,0,https://www.facebook.com/boinapretaoficiall/posts/550417098646569,,https://www.facebook.com/ROCAMeFT/photos/a.320794561453585.1073741828.320790038120704/709859649213739/?type=3,,ROCAM,"Bolsonaro: ""O cidadão armado é a primeira linha de defesa de um país"".

Quem concorda?",,,1.1166666666666667
Radarmaringa Frases Viral,920182,2017-11-08 14:19:41 BRST,Photo,263,1,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/Radarmaringa2/posts/1864263980267923,"Bolsonaro: ""O cidadão armado é a primeira linha de defesa de um país"". Quem concorda?",https://www.facebook.com/ROCAMeFT/photos/a.320794561453585.1073741828.320790038120704/709859649213739/?type=3,,ROCAM,"Bolsonaro: ""O cidadão armado é a primeira linha de defesa de um país"".

Quem concorda?",,,-1.2037735849056603
Bolsonaro Opressor 2.0,908404,2017-11-08 14:18:12 BRST,Link,94,1,10,7,0,0,0,0,0,,0,0,0,https://www.facebook.com/Bolsonaroopressor2.0/posts/1609633852408289,https://www.oantagonista.com/brasil/exclusivo-carta-aos-brasileiros-de-bolsonaro/,https://www.oantagonista.com/brasil/exclusivo-carta-aos-brasileiros-de-bolsonaro/,,Exclusivo: 'A Carta aos Brasileiros' de Bolsonaro - O Antagonista,"Jair Bolsonaro enviou a O Antagonista a mensagem abaixo, com a qual espera rebater especulações a respeito de seu futuro comportamento na área econômica, caso seja eleito presidente da República...",,,-2.5892857142857144
General Mourão - Eu Apoio,158339,2017-11-08 14:17:00 BRST,Photo,110,10,80,6,0,1,0,0,0,,0,0,0,https://www.facebook.com/generalmouraopresidentedobrasil/posts/723635844513080,"SOB COMANDO DE #MOURÃO >> VAMOS TOMAR AS RUAS - VAMOS TOMAR O BRASIL - #QUEVENHAMOSGENERAIS !! 🚨 CONVOCAÇÃO NACIONAL 🚨 - DIA 15/11 - PRAS RUAS BRASIL - UM MILHÃO NA PAULISTA - MILHÕES EM TODO O BRASIL !! VAMOS FECHAR O CONGRESSO - DEPOSIÇÃO DE TODA CLASSE POLÍTICA - EM APOIO A >> #MOURÃO - 🇧🇷 #INTERVENÇÃO #MILITAR 🇧🇷 !! ___________________ ONDE ESTÃO OS IMPEACHIMISTAS? Os movimentos de rua são financiados pelos Partidos - Manipularam o povo para pedir IMPEACHIZZA - Chegou a hora de tirar todos >> VAMOS PRAS RUAS !! ▬▬▬▬▬▬ ONDE ESTÃO OS BOLSOMITOS? O momento é de UNIÃO de toda a Direita - Bolsonaro não ganha com urna eletrônica - Se querem ver seu Mito na Presidência - Saiam do Aeroporto >> VÃO PRAS RUAS LEGITIMAR A INTERVENÇÃO !! ___________________ TODOS OS GRUPOS - UMA ÚNICA DATA - UM ÚNICO GRITO - ÚNICO APOIO - DIA 15 de NOVEMBRO >> 🇧🇷 #INTERVENÇÃOMILITAR 🇧🇷 !! O CONGRESSO É LIXO - O STJ, O TRF, O TSE e O STF SÃO FACÇÕES CRIMINOSAS - NOSSA MISSÃO >>...",https://www.facebook.com/generalmouraopresidentedobrasil/photos/a.448001325409868.1073741829.444597499083584/723635827846415/?type=3,,,,,,-2.2657004830917873
